用例编号,所属模块,用例标题,前置条件,操作步骤,预期结果,优先级,设计方法,用例状态
TC-GHOST-002,幽灵方块,空棋盘幽灵落到底部,空棋盘O方块,读取ghost_y,ROWS-2,P2,边界值,通过
TC-GHOST-003,幽灵方块,有阻挡时幽灵停在阻挡上方,构造已锁方块,读取ghost_y,在阻挡上方,P2,场景法,通过
TC-SNAP-001,快照,snapshot含全部字段,调用snapshot,检查,含10个字段,P2,等价类,通过
TC-SNAP-002,快照,snapshot中board是深拷贝,修改snapshot.board,原棋盘不变,P2,场景法,通过
TC-SNAP-003,快照,snapshot中piece信息完整,调用snapshot,检查piece,含shape/cells/x/y/color,P2,等价类,通过
TC-STATE-001,状态机,ready态按空格进入running,ready态按空格,状态,running,P1,场景法,通过
TC-STATE-002,状态机,running态按P暂停,running态按P,状态,paused,P1,场景法,通过
TC-STATE-003,状态机,paused态按P恢复,paused态按P,状态,running,P1,场景法,通过
TC-STATE-004,状态机,TOPOUT后进入over,游戏结束,状态,over,P1,场景法,通过
TC-STATE-005,状态机,over态按R重新开始,over态按R,新游戏ready,P2,场景法,通过
TC-STATE-006,状态机,over态按空格重新开始,over态按空格,新游戏ready,P2,场景法,通过
TC-INIT-001,初始化,默认棋盘10x20,初始化,读取cols/rows,10/20,P0,等价类,通过
TC-INIT-002,初始化,棋盘小于4x4抛异常,cols=3,初始化,抛ValueError,P1,边界值,通过
TC-INIT-003,初始化,初始棋盘全空,初始化,遍历board,全0,P1,等价类,通过
TC-INIT-004,初始化,初始combo=-1,初始化,读取combo,-1,P2,等价类,通过
TC-HI-001,最高分,无文件时最高分为0,删除highscore.json启动,显示,0,P2,边界值,通过
TC-HI-002,最高分,破纪录写入文件,本局破纪录结束,检查文件,更新为新分数,P2,场景法,通过
TC-HI-003,最高分,未破纪录不覆盖,最高分100本局50结束,文件,仍为100,P2,场景法,通过
TC-HI-004,最高分,文件损坏降级为0,写入乱码启动,显示,0且不崩溃,P2,错误推测,通过
TC-PERF-001,性能,主循环60FPS,运行游戏采样,平均FPS,≈60,P1,性能测试,通过
TC-PERF-002,性能,旋转响应<1帧,按旋转键观察,当帧生效,P2,性能测试,通过
TC-PERF-003,性能,内存<60MB,长时间运行采样,峰值,<60MB,P2,性能测试,通过
TC-COMPAT-001,兼容性,Win11+Python3.10正常,运行游戏+单测,全通过,P1,兼容性,通过
TC-COMPAT-002,兼容性,Win11+Python3.9正常,运行游戏+单测,全通过,P2,兼容性,通过
TC-COMPAT-003,兼容性,Win11+Python3.11正常,运行游戏+单测,全通过,P2,兼容性,通过
TC-EDGE-001,边界,I方块贴右墙旋转,I在最右列旋转,wall-kick,不崩溃,P1,边界值,通过
TC-EDGE-002,边界,I方块贴底旋转,I在底部旋转,不撞底,P1,边界值,通过
TC-EDGE-003,边界,方块恰好填满棋盘,填满全图锁定,结束TOPOUT,P2,边界值,通过
TC-EDGE-004,边界,消4行后顶部全空,消4行,检查顶行,全0,P2,边界值,通过
